freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.504e+02,3.275e+01,4.255e+02,6.087e+02
1.5,1.023e+02,7.238e+01,2.544e+02,4.291e+02
3.1,2.528e+01,7.008e+01,3.219e+01,1.276e+02
4.6,6.738e+01,7.442e+01,2.085e+02,3.503e+02
6.1,1.889e+02,7.566e+01,7.238e+02,9.884e+02
7.7,3.026e+02,7.276e+01,1.205e+03,1.580e+03
9.2,4.314e+02,7.260e+01,1.759e+03,2.263e+03
10.8,5.937e+02,7.314e+01,2.430e+03,3.097e+03
12.3,7.888e+02,7.266e+01,3.286e+03,4.148e+03
13.8,1.070e+03,7.427e+01,4.575e+03,5.719e+03
15.4,1.430e+03,7.788e+01,6.190e+03,7.698e+03
16.9,1.552e+03,7.946e+01,6.828e+03,8.459e+03
18.4,1.753e+03,7.774e+01,7.797e+03,9.628e+03
20.0,2.179e+03,7.774e+01,9.833e+03,1.209e+04
21.5,2.662e+03,8.308e+01,1.212e+04,1.487e+04
23.0,3.238e+03,8.832e+01,1.483e+04,1.816e+04
24.6,3.976e+03,9.380e+01,1.831e+04,2.238e+04
26.1,4.807e+03,9.846e+01,2.227e+04,2.717e+04
27.6,5.683e+03,9.969e+01,2.658e+04,3.237e+04
29.2,6.928e+03,1.213e+02,3.256e+04,3.961e+04
30.7,8.523e+03,1.509e+02,4.044e+04,4.912e+04
32.3,1.063e+04,1.579e+02,5.086e+04,6.165e+04
33.8,1.373e+04,1.670e+02,6.512e+04,7.902e+04
35.3,1.792e+04,2.016e+02,8.448e+04,1.026e+05
36.9,2.275e+04,3.563e+02,1.103e+05,1.334e+05
38.4,3.036e+04,6.735e+02,1.464e+05,1.775e+05
39.9,4.471e+04,9.899e+02,2.146e+05,2.603e+05
41.5,8.884e+04,1.433e+03,3.943e+05,4.846e+05
43.0,1.564e+05,1.849e+03,6.546e+05,8.128e+05
44.5,2.165e+05,2.969e+03,8.975e+05,1.117e+06
46.1,2.273e+05,4.782e+03,9.638e+05,1.196e+06
47.6,1.915e+05,5.351e+03,8.272e+05,1.024e+06
49.1,1.486e+05,4.134e+03,6.182e+05,7.709e+05
50.7,1.071e+05,2.611e+03,4.381e+05,5.478e+05
52.2,8.396e+04,1.731e+03,3.230e+05,4.087e+05
53.8,7.038e+04,2.060e+03,2.502e+05,3.226e+05
55.3,5.263e+04,2.851e+03,2.064e+05,2.619e+05
56.8,4.501e+04,5.043e+03,1.853e+05,2.353e+05
58.4,4.181e+04,1.068e+04,1.889e+05,2.414e+05
59.9,4.788e+04,1.565e+04,1.763e+05,2.398e+05
61.4,6.111e+04,1.474e+04,1.410e+05,2.168e+05
63.0,7.923e+04,1.497e+04,1.428e+05,2.370e+05
64.5,6.266e+04,1.821e+04,1.381e+05,2.190e+05
66.0,6.335e+04,1.816e+04,1.110e+05,1.925e+05
67.6,8.946e+04,1.553e+04,9.539e+04,2.004e+05
69.1,8.337e+04,1.502e+04,1.006e+05,1.990e+05
70.7,8.373e+04,1.753e+04,9.684e+04,1.981e+05
72.2,1.137e+05,1.991e+04,1.045e+05,2.382e+05
73.7,1.161e+05,2.120e+04,1.487e+05,2.860e+05
75.3,1.284e+05,2.530e+04,2.094e+05,3.631e+05
76.8,1.874e+05,3.895e+04,3.044e+05,5.307e+05
78.3,1.496e+05,5.618e+04,3.163e+05,5.221e+05
79.9,6.598e+04,5.452e+04,2.048e+05,3.253e+05
81.4,6.119e+04,4.368e+04,1.696e+05,2.745e+05
82.9,7.358e+04,3.351e+04,1.508e+05,2.579e+05
84.5,9.409e+04,2.963e+04,1.424e+05,2.661e+05
86.0,1.141e+05,3.069e+04,1.413e+05,2.860e+05
87.5,1.268e+05,3.413e+04,1.475e+05,3.085e+05
89.1,1.150e+05,3.685e+04,1.616e+05,3.135e+05
90.6,1.125e+05,4.160e+04,1.863e+05,3.404e+05
92.2,1.319e+05,4.928e+04,2.180e+05,3.993e+05
93.7,1.261e+05,5.368e+04,2.550e+05,4.348e+05
95.2,1.046e+05,5.700e+04,2.870e+05,4.486e+05
96.8,8.606e+04,6.046e+04,2.967e+05,4.433e+05
98.3,7.181e+04,6.164e+04,2.872e+05,4.206e+05
99.8,5.861e+04,5.665e+04,2.448e+05,3.601e+05
101.4,4.677e+04,4.898e+04,1.980e+05,2.937e+05
102.9,3.892e+04,4.307e+04,1.616e+05,2.436e+05
104.4,3.982e+04,3.592e+04,1.152e+05,1.909e+05
106.0,3.153e+04,2.956e+04,8.070e+04,1.418e+05
107.5,3.345e+04,2.787e+04,8.739e+04,1.487e+05
109.0,5.369e+04,3.107e+04,1.032e+05,1.880e+05
110.6,8.578e+04,3.465e+04,1.335e+05,2.540e+05
112.1,1.364e+05,4.507e+04,1.781e+05,3.596e+05
113.7,1.626e+05,3.851e+04,1.950e+05,3.961e+05
115.2,1.602e+05,3.341e+04,2.125e+05,4.061e+05
116.7,1.479e+05,3.321e+04,2.281e+05,4.092e+05
