freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.937e+02,4.474e+01,2.459e+02,9.843e+02
1.5,4.476e+02,8.464e+01,1.976e+02,7.298e+02
3.1,7.638e+01,7.452e+01,8.685e+01,2.377e+02
4.6,2.495e+02,7.666e+01,1.305e+02,4.566e+02
6.1,7.446e+02,7.936e+01,2.494e+02,1.073e+03
7.7,1.213e+03,7.917e+01,3.613e+02,1.654e+03
9.2,1.703e+03,7.796e+01,4.807e+02,2.261e+03
10.8,2.204e+03,7.731e+01,5.967e+02,2.878e+03
12.3,2.883e+03,8.040e+01,7.503e+02,3.714e+03
13.8,3.675e+03,8.151e+01,9.467e+02,4.704e+03
15.4,4.597e+03,8.160e+01,1.168e+03,5.847e+03
16.9,5.660e+03,8.509e+01,1.444e+03,7.189e+03
18.4,6.817e+03,8.707e+01,1.721e+03,8.625e+03
20.0,8.093e+03,8.979e+01,2.025e+03,1.021e+04
21.5,9.544e+03,9.522e+01,2.373e+03,1.201e+04
23.0,1.122e+04,9.783e+01,2.777e+03,1.410e+04
24.6,1.313e+04,9.982e+01,3.244e+03,1.648e+04
26.1,1.513e+04,1.016e+02,3.734e+03,1.897e+04
27.6,1.727e+04,1.085e+02,4.205e+03,2.158e+04
29.2,1.983e+04,1.280e+02,4.740e+03,2.470e+04
30.7,2.246e+04,1.334e+02,5.427e+03,2.802e+04
32.3,2.537e+04,1.331e+02,6.275e+03,3.178e+04
33.8,2.889e+04,1.420e+02,7.190e+03,3.622e+04
35.3,3.311e+04,1.491e+02,8.370e+03,4.163e+04
36.9,3.791e+04,1.674e+02,1.016e+04,4.823e+04
38.4,4.305e+04,2.060e+02,1.149e+04,5.474e+04
39.9,4.772e+04,2.622e+02,1.217e+04,6.016e+04
41.5,5.396e+04,2.833e+02,1.309e+04,6.734e+04
43.0,6.131e+04,3.306e+02,1.440e+04,7.603e+04
44.5,6.855e+04,3.703e+02,1.591e+04,8.482e+04
46.1,7.870e+04,4.104e+02,1.841e+04,9.752e+04
47.6,9.063e+04,4.676e+02,2.146e+04,1.126e+05
49.1,1.022e+05,5.149e+02,2.470e+04,1.274e+05
50.7,1.148e+05,6.423e+02,2.822e+04,1.436e+05
52.2,1.328e+05,9.222e+02,3.293e+04,1.666e+05
53.8,1.491e+05,1.225e+03,3.825e+04,1.885e+05
55.3,1.616e+05,1.222e+03,4.322e+04,2.060e+05
56.8,1.808e+05,1.077e+03,4.837e+04,2.303e+05
58.4,2.162e+05,1.124e+03,5.766e+04,2.750e+05
59.9,2.810e+05,1.500e+03,7.701e+04,3.595e+05
61.4,3.328e+05,2.534e+03,1.071e+05,4.424e+05
63.0,3.824e+05,4.353e+03,1.319e+05,5.186e+05
64.5,4.090e+05,4.682e+03,1.234e+05,5.370e+05
66.0,5.578e+05,5.009e+03,1.436e+05,7.064e+05
67.6,7.653e+05,9.451e+03,1.896e+05,9.643e+05
69.1,7.446e+05,1.314e+04,2.085e+05,9.663e+05
70.6,6.614e+05,1.296e+04,2.292e+05,9.036e+05
72.2,8.086e+05,1.250e+04,3.056e+05,1.127e+06
73.7,9.387e+05,1.401e+04,3.753e+05,1.328e+06
75.3,7.934e+05,1.659e+04,3.883e+05,1.198e+06
76.8,5.930e+05,2.261e+04,3.574e+05,9.730e+05
78.3,7.231e+05,5.011e+04,3.412e+05,1.114e+06
79.9,1.278e+06,9.331e+04,3.386e+05,1.710e+06
81.4,1.665e+06,1.086e+05,3.692e+05,2.143e+06
82.9,1.718e+06,1.110e+05,4.306e+05,2.260e+06
84.5,1.828e+06,1.262e+05,4.718e+05,2.426e+06
86.0,1.767e+06,1.263e+05,4.582e+05,2.351e+06
87.5,1.601e+06,1.116e+05,4.248e+05,2.138e+06
89.1,1.442e+06,9.349e+04,4.023e+05,1.938e+06
90.6,1.269e+06,7.504e+04,3.866e+05,1.731e+06
92.2,1.084e+06,5.884e+04,3.477e+05,1.491e+06
93.7,9.327e+05,5.795e+04,3.138e+05,1.304e+06
95.2,7.957e+05,6.774e+04,3.221e+05,1.186e+06
96.8,6.518e+05,7.388e+04,3.421e+05,1.068e+06
98.3,5.150e+05,7.238e+04,3.382e+05,9.255e+05
99.8,4.093e+05,7.065e+04,3.198e+05,7.997e+05
101.4,3.427e+05,7.043e+04,3.031e+05,7.162e+05
102.9,3.145e+05,7.006e+04,2.978e+05,6.823e+05
104.4,3.126e+05,6.792e+04,2.925e+05,6.731e+05
106.0,3.246e+05,6.251e+04,2.969e+05,6.840e+05
107.5,3.775e+05,5.334e+04,3.288e+05,7.597e+05
109.0,4.259e+05,4.343e+04,3.731e+05,8.424e+05
110.6,5.081e+05,4.715e+04,4.282e+05,9.835e+05
112.1,6.659e+05,4.680e+04,4.575e+05,1.170e+06
113.7,6.905e+05,3.371e+04,3.881e+05,1.112e+06
115.2,5.917e+05,3.552e+04,2.418e+05,8.689e+05
116.7,5.625e+05,4.223e+04,1.646e+05,7.692e+05
118.3,6.129e+05,4.434e+04,1.473e+05,8.045e+05
119.8,5.849e+05,4.171e+04,1.392e+05,7.658e+05
121.3,5.196e+05,3.889e+04,1.352e+05,6.937e+05
122.9,4.729e+05,3.845e+04,1.551e+05,6.665e+05
124.4,4.367e+05,3.274e+04,1.926e+05,6.621e+05
125.9,4.010e+05,2.795e+04,1.891e+05,6.180e+05
127.5,3.858e+05,2.676e+04,1.602e+05,5.727e+05
129.0,3.977e+05,2.559e+04,1.336e+05,5.569e+05
130.5,4.220e+05,2.578e+04,1.224e+05,5.701e+05
