Sample,X,Y,Z
0,-0.012,-0.027,-1.086
1,-0.016,-0.027,-0.961
2,-0.016,-0.027,-0.961
3,-0.020,-0.023,-0.953
4,-0.020,-0.023,-0.965
5,-0.020,-0.031,-0.945
6,-0.016,-0.027,-0.961
7,-0.023,-0.031,-0.953
8,-0.016,-0.020,-0.957
9,-0.027,-0.020,-0.961
10,-0.027,-0.035,-0.961
11,-0.012,-0.020,-0.953
12,-0.027,-0.023,-0.961
13,-0.027,-0.027,-0.949
14,-0.023,-0.027,-0.953
15,-0.023,-0.023,-0.949
16,-0.016,-0.023,-0.949
17,-0.008,-0.031,-0.957
18,-0.016,-0.027,-0.953
19,-0.012,-0.023,-0.961
20,-0.012,-0.035,-0.953
21,-0.027,-0.023,-0.957
22,-0.020,-0.031,-0.957
23,-0.020,-0.031,-0.957
24,-0.020,-0.027,-0.957
25,-0.020,-0.023,-0.957
26,-0.027,-0.020,-0.957
27,-0.020,-0.035,-0.949
28,-0.023,-0.031,-0.953
29,-0.020,-0.027,-0.953
30,-0.020,-0.020,-0.961
31,-0.020,-0.023,-0.953
32,-0.020,-0.031,-0.953
33,-0.023,-0.027,-0.961
34,-0.020,-0.016,-0.953
35,-0.020,-0.023,-0.957
36,-0.020,-0.031,-0.957
37,-0.020,-0.031,-0.957
38,-0.020,-0.023,-0.961
39,-0.020,-0.020,-0.953
40,-0.012,-0.035,-0.945
41,-0.020,-0.039,-0.965
42,-0.020,-0.039,-0.961
43,-0.016,-0.031,-0.953
44,-0.016,-0.016,-0.953
45,-0.027,-0.027,-0.961
46,-0.016,-0.039,-0.957
47,-0.016,-0.027,-0.957
48,-0.023,-0.020,-0.953
49,-0.023,-0.016,-0.949
50,-0.016,-0.031,-0.957
51,-0.004,-0.035,-0.953
52,-0.020,-0.020,-0.961
53,-0.023,-0.012,-0.949
54,-0.020,-0.023,-0.957
55,-0.020,-0.031,-0.957
56,-0.012,-0.035,-0.953
57,-0.023,-0.016,-0.953
58,-0.004,-0.406,-0.957
59,-0.035,-0.961,-0.934
60,-0.043,-1.105,-0.926
61,0.012,-0.711,-0.934
62,0.066,-0.824,-0.969
63,0.008,-1.184,-0.965
64,-0.121,-1.617,-0.941
65,-0.027,-1.234,-0.914
66,0.070,-0.680,-0.906
67,-0.004,-0.438,-0.941
68,-0.023,-0.770,-1.008
69,-0.082,-1.074,-0.934
70,-0.078,-0.953,-0.969
71,-0.055,-0.910,-0.938
72,-0.160,-0.926,-0.980
73,-0.137,-1.250,-1.004
74,-0.020,-1.066,-1.004
75,-0.004,-0.348,-0.973
76,0.012,-0.273,-0.895
77,-0.074,-0.543,-0.906
78,-0.051,-1.082,-0.949
79,-0.113,-0.840,-0.785
80,0.086,0.238,-1.012
81,0.258,-0.105,-1.039
82,0.012,-0.625,-0.980
83,-0.070,-1.203,-0.887
84,0.008,-0.984,-0.816
85,-0.098,-0.656,-0.914
86,0.004,-0.582,-1.145
87,0.277,-0.805,-1.125
88,0.184,-1.141,-0.953
89,-0.074,-0.754,-0.934
90,-0.352,-0.406,-0.758
91,-0.066,-0.609,-1.000
92,0.281,-1.012,-1.070
93,0.070,-1.188,-1.086
94,-0.203,-0.836,-0.906
95,-0.160,-0.723,-0.934
96,0.043,-0.496,-0.980
97,0.145,-0.867,-0.992
98,0.027,-0.984,-0.953
99,-0.168,-0.680,-0.762
100,-0.062,-0.453,-0.918
101,0.133,-0.527,-1.016
102,0.152,-0.699,-1.020
103,0.027,-0.820,-0.910
104,-0.234,-0.711,-0.797
105,-0.160,-0.730,-0.930
106,0.012,-0.832,-1.055
107,0.266,-0.578,-1.098
108,0.062,-0.785,-0.980
109,-0.148,-0.992,-0.926
110,-0.113,-1.086,-0.840
111,0.035,-0.816,-0.891
112,0.031,-0.305,-0.969
113,-0.074,-0.418,-1.121
114,-0.035,-0.582,-1.102
115,-0.062,-0.637,-0.848
116,0.004,-0.641,-0.820
117,-0.121,-0.707,-0.789
118,-0.090,-1.066,-1.027
119,0.195,-1.145,-1.023
120,0.020,-0.699,-0.949
121,0.055,-0.402,-0.988
122,-0.105,-0.574,-0.945
123,-0.051,-0.883,-1.000
124,0.039,-0.711,-0.930
125,0.012,-1.047,-0.918
126,-0.016,-0.785,-0.891
127,0.039,-0.473,-1.012
128,0.160,-0.852,-1.020
129,-0.105,-0.766,-0.934
130,-0.254,-0.855,-0.938
131,-0.062,-0.734,-1.020
132,0.035,-0.766,-0.926
133,0.051,-0.758,-0.859
134,-0.012,-0.844,-0.863
135,-0.094,-0.664,-1.023
136,-0.336,0.352,-0.758
137,0.105,-1.062,-1.016
138,0.031,-1.266,-1.121
139,-0.227,-1.004,-0.930
140,0.219,-0.922,-0.883
141,-0.184,-0.309,-0.922
142,0.129,-0.672,-0.957
143,0.164,-0.598,-1.016
144,-0.031,-1.094,-1.051
145,-0.133,-0.707,-0.984
146,-0.121,-0.707,-0.902
147,0.191,-0.645,-0.828
148,0.023,-0.672,-0.941
149,0.027,-0.602,-1.012
150,-0.102,-0.605,-1.102
151,-0.090,-0.609,-0.984
152,0.105,-1.035,-0.859
153,-0.023,-0.422,-0.816
154,-0.016,-1.199,-0.762
155,-0.164,-0.074,-1.203
156,0.020,-0.125,-1.062
157,0.324,-0.020,-1.020
158,-0.027,-0.211,-0.918
159,-0.348,-0.363,-0.793
160,-0.336,0.480,-0.855
161,-0.098,-0.008,-1.109
162,0.105,0.238,-1.102
163,0.227,0.410,-1.098
164,0.160,0.098,-0.941
165,-0.441,0.621,-0.918
166,-0.188,1.383,-0.734
167,0.141,0.047,-0.863
168,0.168,-0.285,-1.109
169,-0.020,-0.363,-0.766
170,0.203,0.316,-0.789
171,-0.215,0.469,-0.930
172,-0.027,-0.621,-1.262
173,0.230,-0.125,-1.074
174,0.402,-0.289,-1.211
175,-0.109,-0.598,-0.699
176,-0.383,-0.230,-0.805
177,-0.277,-0.613,-0.957
178,0.156,0.117,-1.090
179,0.484,-0.043,-1.301
180,-0.016,0.422,-0.746
181,-0.430,-0.172,-0.625
182,-0.340,0.117,-0.844
183,-0.137,-0.098,-0.996
184,0.387,-0.203,-1.125
185,0.113,-0.746,-0.926
186,-0.164,0.160,-0.949
187,-0.168,0.500,-0.969
188,-0.090,0.590,-0.902
189,0.117,-0.492,-1.070
190,0.211,-0.398,-0.875
191,0.070,0.164,-0.836
192,-0.254,0.402,-0.922
193,-0.258,0.293,-1.051
194,0.062,0.082,-1.219
195,0.184,0.711,-0.914
196,-0.062,-0.324,-0.660
197,-0.055,-0.375,-0.879
198,-0.527,-0.629,-0.887
199,0.016,-0.422,-1.281
200,0.371,0.488,-1.047
201,0.289,0.023,-1.047
202,0.023,0.004,-0.723
203,-0.543,-0.148,-0.578
204,-0.359,-0.148,-0.824
205,0.168,0.070,-1.355
206,0.406,-0.305,-1.324
207,0.301,-0.012,-1.051
208,-0.148,0.184,-0.570
209,-0.855,-0.047,-0.641
210,-0.047,1.176,-1.082
211,0.234,-0.133,-1.074
212,0.539,-1.160,-1.148
213,-0.336,-0.148,-0.680
214,-0.094,0.051,-0.789
215,-0.168,0.883,-0.926
216,-0.152,-0.199,-1.188
217,0.434,-0.211,-1.062
218,0.367,-0.305,-0.934
219,-0.293,-0.273,-0.828
220,-0.258,0.242,-0.906
221,-0.039,0.090,-0.875
222,-0.082,-0.262,-1.273
223,0.566,1.164,-1.078
224,0.098,-0.230,-0.562
225,-0.215,-0.965,-0.762
226,-0.746,0.066,-0.922
227,0.414,0.039,-1.047
228,0.332,0.340,-1.078
229,0.043,-0.449,-1.051
230,0.094,-0.348,-0.859
231,-0.191,0.254,-0.879
232,-0.426,-0.172,-0.926
233,0.199,0.129,-1.168
234,0.309,-0.012,-0.922
235,-0.223,-0.305,-0.898
236,-0.223,0.477,-0.895
237,0.117,0.938,-1.039
238,-0.195,-0.160,-0.957
239,-0.195,-0.160,-0.957
240,0.059,-0.566,-0.922
241,0.199,-0.137,-1.004
242,-0.090,-0.312,-0.688
243,-0.043,0.340,-0.871
244,-0.137,0.062,-0.992
245,0.266,0.270,-1.234
246,0.086,-0.273,-0.965
247,-0.113,-0.578,-0.973
248,-0.188,0.016,-0.859
249,-0.273,0.152,-0.891
250,-0.062,0.371,-0.988
251,0.328,-0.035,-1.090
252,0.203,-0.301,-0.879
253,-0.281,-0.738,-0.988
254,-0.527,1.188,-0.609
255,0.316,-0.285,-1.160
256,0.121,-0.258,-1.016
257,0.039,-0.551,-0.992
258,0.117,-0.379,-0.785
259,-0.172,0.340,-0.887
260,-0.430,-0.086,-1.180
261,0.254,0.383,-1.113
262,0.242,-0.289,-0.973
263,-0.078,-0.438,-0.723
264,-0.258,-0.074,-0.840
265,-0.148,0.238,-0.828
266,0.047,0.207,-1.309
267,0.105,-0.562,-1.078
268,0.129,1.016,-0.836
269,-0.152,-0.371,-0.758
270,-0.199,0.137,-0.934
271,-0.367,-0.102,-0.840
272,0.379,-0.035,-1.180
273,0.246,-0.098,-1.008
274,-0.141,-0.621,-0.898
275,-0.199,0.270,-0.785
276,-0.277,-0.066,-0.914
277,0.047,0.305,-1.117
278,0.441,-0.289,-1.125
279,0.145,-0.297,-0.879
280,-0.320,-0.207,-0.812
281,-0.305,0.961,-0.914
282,-0.043,0.039,-1.078
283,0.176,-0.477,-1.137
284,0.266,-0.137,-0.836
285,0.180,-0.230,-0.988
286,-0.281,0.547,-0.676
287,-0.344,-0.320,-1.129
288,0.301,0.238,-0.926
289,0.297,-0.742,-0.988
290,-0.012,-0.191,-0.941
291,-0.145,-0.121,-1.012
292,-0.164,0.293,-0.906
293,-0.125,0.426,-1.121
294,0.262,-0.148,-1.039
295,0.164,-0.379,-0.879
296,-0.367,0.332,-0.734
297,-0.273,-0.141,-0.855
298,-0.031,0.188,-1.227
299,0.086,-0.242,-1.094
300,0.402,-0.305,-1.000
301,-0.113,-0.895,-0.781
302,-0.441,0.328,-0.695
303,0.004,0.387,-1.094
